customerid,companyname,total_margin,total_orders,pct_margin,order_freq,loyalty_score,avg_ticket,consumption_pattern,segment,loyal_segment,ltv
ALFKI,Alfreds Futterkiste,1378.86,6,0.0033933853968913137,0.1935483870967742,0.07945538607684446,229.80999999999997,Ocasional bajo impacto,No Premium,No Leales,3.5341243111586365
ANATR,Ana Trujillo Emparedados Y Helados,420.885,4,0.0010358013233907725,0.12903225806451613,0.052234384019840915,105.22125,Ocasional bajo impacto,No Premium,No Leales,0.7091828618771208
ANTON,Antonio Moreno Taquería,2254.605,7,0.005548600788156986,0.22580645161290322,0.09365174111805549,322.0864285714286,Ocasional bajo impacto,No Premium,No Leales,6.811215605918501
AROUT,Around The Horn,4141.95,13,0.0101933718032679,0.41935483870967744,0.17385795856583172,318.61153846153843,Premium recurrente,Premium,Leales,23.229386176830538
BERGS,Berglunds Snabbköp,8090.445,18,0.019910649317082477,0.5806451612903226,0.24420445410637856,449.46916666666664,Premium recurrente,Premium,Leales,63.73299047428
BLAUS,Blauer See Delikatessen,971.94,7,0.0023919520492686305,0.22580645161290322,0.09175775187472247,138.84857142857143,Ocasional bajo impacto,No Premium,No Leales,2.8768719147457342
BLONP,Blondesddsl Père Et Fils,5726.4,11,0.014092715820865366,0.3548387096774194,0.15039111336348696,520.5818181818181,Premium recurrente,No Premium,No Leales,27.780634566602313
BOLID,Bólido Comidas Preparadas,1589.34,3,0.003911378346384144,0.0967741935483871,0.04105650442718533,529.78,Ocasional bajo impacto,No Premium,No Leales,2.104927249880733
BONAP,Bon App',7155.285,17,0.017609213139546775,0.5483870967741935,0.22992036659340548,420.8991176470588,Premium recurrente,Premium,Leales,53.06921775097726
BOTTM,Bottom-Dollar Markets,6782.31,14,0.01669131870617026,0.45161290322580644,0.19065995251402476,484.4507142857143,Premium recurrente,Premium,Leales,41.71338395275468
BSBEV,B'S Beverages,1826.97,10,0.00449618766122632,0.3225806451612903,0.13172997066125192,182.697,Frecuente bajo ticket,No Premium,No Leales,7.7634420806124975
CACTU,Cactus Comidas Para Llevar,544.44,6,0.0013398711584087632,0.1935483870967742,0.07822327753375494,90.74000000000001,Ocasional bajo impacto,No Premium,No Leales,1.3738026200154045
CENTC,Centro Comercial Moctezuma,30.24,1,7.442087985871904e-05,0.03225806451612903,0.012947878334366844,30.24,Ocasional bajo impacto,No Premium,No Leales,0.012630446478427527
CHOPS,Chop-Suey Chinese,3865.89,8,0.009513985953605269,0.25806451612903225,0.10893419802377606,483.23625,Premium ocasional,No Premium,No Leales,13.584762154778568
COMMI,Comércio Mineiro,1143.225,5,0.0028134857928731505,0.16129032258064516,0.06620422050798196,228.64499999999998,Ocasional bajo impacto,No Premium,No Leales,2.4414941932334733
CONSH,Consolidated Holdings,515.73,3,0.001269215620685753,0.0967741935483871,0.03947120679176629,171.91,Ocasional bajo impacto,No Premium,No Leales,0.6566608218941171
DRACD,Drachenblut Delikatessen,1128.963,6,0.002778386897749306,0.1935483870967742,0.07908638697735926,188.16049999999998,Ocasional bajo impacto,No Premium,No Leales,2.8801807968103366
DUMON,Du Monde Entier,484.77,4,0.001193022815116112,0.12903225806451613,0.05232871691487612,121.1925,Ocasional bajo impacto,No Premium,No Leales,0.8183029709298224
EASTC,Eastern Connection,4510.098,8,0.011099386951357442,0.25806451612903225,0.10988543862242736,563.76225,Premium ocasional,No Premium,No Leales,15.986906353552659
ERNSH,Ernst Handel,33971.004,30,0.08360291029643069,0.967741935483871,0.43725852037140683,1132.3668,Premium recurrente,Premium,Leales,479.1648691797143
FAMIA,Familia Arquibaldo,1331.67,7,0.0032772504325879756,0.22580645161290322,0.09228893090471409,190.23857142857145,Ocasional bajo impacto,No Premium,No Leales,3.964464536060665
FOLIG,Folies Gourmandes,3500.07,5,0.008613700031981043,0.16129032258064516,0.06968434905144669,700.014,Premium ocasional,No Premium,No Leales,7.867745147887001
FOLKO,Folk Och Fä Hb,9766.665,19,0.02403584003258453,0.6129032258064516,0.2595827943421314,514.0350000000001,Premium recurrente,Premium,Leales,81.78252232591913
FRANK,Frankenversand,8616.813,15,0.021206045140147102,0.4838709677419355,0.20627201418086247,574.4542,Premium recurrente,Premium,Leales,57.33572172031742
FRANR,France Restauration,951.648,3,0.0023420132763158153,0.0967741935483871,0.04011488538514433,317.216,Ocasional bajo impacto,No Premium,No Leales,1.2314596918387688
FRANS,Franchi S.P.A.,463.71,6,0.001141193988071647,0.1935483870967742,0.07810407123155266,77.285,Ocasional bajo impacto,No Premium,No Leales,1.1683109313155897
FURIB,Furia Bacalhau E Frutos Do Mar,2145.465,8,0.00528000638247641,0.25806451612903225,0.10639381028109875,268.183125,Ocasional bajo impacto,No Premium,No Leales,7.363361166927018
GALED,Galería Del Gastrónomo,251.01,5,0.0006177376009701411,0.16129032258064516,0.06488677159284015,50.202,Ocasional bajo impacto,No Premium,No Leales,0.5253944689522194
GODOS,Godos Cocina Típica,3549.03,10,0.008734190980323731,0.3225806451612903,0.13427277265271037,354.903,Premium recurrente,No Premium,No Leales,15.372196720246732
GOURL,Gourmet Lanchonetes,2610.669,9,0.00642487711639822,0.2903225806451613,0.11998395852790347,290.0743333333333,Premium recurrente,No Premium,No Leales,10.10446454922849
GREAL,Great Lakes Food Market,5913.339,11,0.014552774182634847,0.3548387096774194,0.15066714838054865,537.5762727272727,Premium recurrente,No Premium,No Leales,28.740191114112424
GROSR,Grosella-Restaurante,446.61,2,0.0010991107524372524,0.06451612903225806,0.026465918064365577,223.305,Ocasional bajo impacto,No Premium,No Leales,0.3812885053782681
HANAR,Hanari Carnes,10230.345,14,0.02517696019041822,0.45161290322580644,0.19575133740457354,730.7389285714286,Premium recurrente,Premium,Leales,64.6001198664578
