customerid,companyname,total_margin,total_orders,pct_margin,order_freq,loyalty_score
SAVEA,Save-A-Lot Markets,34702.017,31,0.08540193908770588,1.0,0.45124116345262355
ERNSH,Ernst Handel,33971.004,30,0.08360291029643069,0.967741935483871,0.43725852037140683
QUICK,Quick-Stop,35245.017,28,0.0867382663946928,0.9032258064516129,0.41333328241746087
HUNGO,Hungry Owl All-Night Grocers,17195.217,19,0.04231756542664032,0.6129032258064516,0.27055182957856483
FOLKO,Folk Och Fä Hb,9766.665,19,0.02403584003258453,0.6129032258064516,0.2595827943421314
RATTC,Rattlesnake Canyon Grocery,15673.77,18,0.03857327229177231,0.5806451612903226,0.2554020278911925
BERGS,Berglunds Snabbköp,8090.445,18,0.019910649317082477,0.5806451612903226,0.24420445410637856
HILAA,Hilarion-Abastos,7083.474,18,0.017432485698953705,0.5806451612903226,0.2427175559355013
BONAP,Bon App',7155.285,17,0.017609213139546775,0.5483870967741935,0.22992036659340548
FRANK,Frankenversand,8616.813,15,0.021206045140147102,0.4838709677419355,0.20627201418086247
LEHMS,Lehmanns Marktstand,6384.606,15,0.015712566007647377,0.4838709677419355,0.20297592670136264
WARTH,Wartian Herkku,4985.13,15,0.012268444471233335,0.4838709677419355,0.20090945377951422
HANAR,Hanari Carnes,10230.345,14,0.02517696019041822,0.45161290322580644,0.19575133740457354
KOENE,Königlich Essen,9523.725,14,0.023437962765624307,0.45161290322580644,0.19470793894969718
WHITC,White Clover Markets,8722.035,14,0.021464997316750743,0.45161290322580644,0.19352415968037304
BOTTM,Bottom-Dollar Markets,6782.31,14,0.01669131870617026,0.45161290322580644,0.19065995251402476
LILAS,Lila-Supermercado,5347.518,14,0.0131602842136355,0.45161290322580644,0.1885413318185039
LAMAI,La Maison D'Asie,3081.705,14,0.007584100448578497,0.45161290322580644,0.1851956215594697
MEREP,Mère Paillarde,9661.17,13,0.023776216000815496,0.41935483870967744,0.18200766508436028
QUEEN,Queen Cozinha,9067.83,13,0.022316001554539954,0.41935483870967744,0.18113153641659496
AROUT,Around The Horn,4141.95,13,0.0101933718032679,0.41935483870967744,0.17385795856583172
SUPRD,Suprêmes Délices,7411.32,12,0.01823931730537439,0.3870967741935484,0.16578230006064398
LINOD,Lino-Delicateses,5366.865,12,0.013207897334092729,0.3870967741935484,0.162763448077875
REGGC,Reggiani Caseifici,2266.68,12,0.005578317458933904,0.3870967741935484,0.15818570015277972
GREAL,Great Lakes Food Market,5913.339,11,0.014552774182634847,0.3548387096774194,0.15066714838054865
BLONP,Blondesddsl Père Et Fils,5726.4,11,0.014092715820865366,0.3548387096774194,0.15039111336348696
VAFFE,Vaffeljernet,4993.14,11,0.012288157144767341,0.3548387096774194,0.14930837815782816
RICAR,Ricardo Adocicados,3877.32,11,0.009542115274266155,0.3548387096774194,0.14766075303552745
PICCO,Piccolo Und Mehr,7877.985,10,0.01938778357188461,0.3225806451612903,0.1406649282076469
RICSU,Richter Supermarkt,6009.96,10,0.014790559230016768,0.3225806451612903,0.1379065936025262
OLDWO,Old World Delicatessen,4897.545,10,0.012052897091523483,0.3225806451612903,0.1362639963194302
OTTIK,Ottilies Käseladen,3947.25,10,0.009714213558939443,0.3225806451612903,0.1348607861998798
GODOS,Godos Cocina Típica,3549.03,10,0.008734190980323731,0.3225806451612903,0.13427277265271037
TORTU,Tortuga Restaurante,3243.645,10,0.00798263607306001,0.3225806451612903,0.13382183970835212
WANDK,Die Wandernde Kuh,3196.155,10,0.007865762806377121,0.3225806451612903,0.1337517157483424
VICTE,Victuailles En Stock,2981.13,10,0.007336584575834097,0.3225806451612903,0.13343420881001658
MAGAA,Magazzini Alimentari Riuniti,2281.155,10,0.00561394054874723,0.3225806451612903,0.13240062239376446
