shipperid,country,avg_cost,avg_delivery_days,total_orders,kpi_accountability
1,Argentina,26.394,11.25,5,2.3461333333333334
1,Austria,184.88083333333336,5.75,12,32.1531884057971
1,Belgium,89.66666666666667,14.333333333333334,3,6.2558139534883725
1,Brazil,49.77161290322581,7.32258064516129,31,6.797004405286344
1,Canada,71.025,8.25,4,8.60909090909091
1,Denmark,66.80666666666666,7.166666666666667,6,9.321860465116277
1,Finland,34.75125,4.0,8,8.6878125
1,France,42.59185185185185,9.185185185185185,27,4.637016129032258
1,Germany,89.56,7.05,41,12.703546099290781
1,Ireland,65.67750000000001,13.0,4,5.0521153846153855
1,Italy,32.33214285714286,9.714285714285714,14,3.3283088235294125
1,Mexico,44.0775,10.0,4,4.40775
1,Norway,13.37,2.0,1,6.685
1,Poland,8.72,8.0,1,1.09
1,Portugal,33.86,8.5,2,3.9835294117647058
1,Spain,20.592222222222222,9.222222222222221,9,2.2328915662650606
1,Sweden,69.19285714285715,10.285714285714286,14,6.727083333333334
1,Switzerland,62.6325,10.75,4,5.826279069767442
1,Uk,66.89818181818181,9.454545454545455,11,7.07576923076923
1,Usa,74.02322580645162,9.806451612903226,31,7.548421052631579
1,Venezuela,48.31411764705882,9.666666666666666,17,4.998012170385396
2,Argentina,58.72428571428572,9.714285714285714,7,6.04514705882353
2,Austria,204.38866666666667,12.214285714285714,15,16.733575048732945
2,Belgium,91.42625,10.625,8,8.604823529411764
2,Brazil,71.81228571428571,8.636363636363637,35,8.315106766917292
2,Canada,106.57000000000001,5.777777777777778,10,18.444807692307695
2,Denmark,120.982,5.5,5,21.996727272727274
2,Finland,79.916,5.4,5,14.799259259259257
2,France,43.60310344827586,8.821428571428571,29,4.942861929359207
2,Germany,74.79867924528301,9.30188679245283,53,8.041237322515212
2,Ireland,210.04555555555555,10.444444444444445,9,20.110744680851063
2,Italy,23.15888888888889,7.0,9,3.3084126984126985
2,Mexico,52.813,6.555555555555555,10,8.056220338983051
2,Norway,55.872499999999995,8.25,4,6.772424242424242
2,Poland,50.480000000000004,10.5,2,4.807619047619048
2,Portugal,79.9425,6.25,4,12.790799999999999
2,Spain,68.505,8.75,8,7.829142857142856
2,Sweden,116.46066666666667,9.866666666666667,15,11.803445945945946
2,Switzerland,61.5975,13.857142857142858,8,4.445180412371133
2,Uk,53.63826086956522,8.347826086956522,23,6.425416666666667
2,Usa,113.30549019607842,10.54,51,10.750046508166834
2,Venezuela,72.0575,9.133333333333333,16,7.889507299270074
3,Argentina,13.885000000000002,5.666666666666667,4,2.450294117647059
3,Austria,162.08461538461538,7.416666666666667,13,21.85410544511668
3,Belgium,34.96625,5.75,8,6.081086956521739
3,Brazil,48.461176470588235,8.647058823529411,17,5.604353741496599
3,Canada,53.018125,5.4375,16,9.750459770114942
3,Denmark,55.777142857142856,8.714285714285714,7,6.400655737704918
3,Finland,25.922222222222224,7.111111111111111,9,3.6453125000000006
3,France,86.82714285714286,6.9,21,12.583643892339545
3,Germany,130.24964285714287,6.888888888888889,28,18.90720622119816
3,Ireland,100.35333333333334,10.5,6,9.557460317460318
3,Italy,40.672000000000004,4.2,5,9.683809523809524
3,Mexico,29.881428571428568,8.0,14,3.735178571428571
3,Norway,38.64,7.0,1,5.5200000000000005
3,Poland,16.515,6.75,4,2.4466666666666668
3,Portugal,36.57714285714286,10.142857142857142,7,3.606197183098592
3,Spain,21.419999999999998,9.833333333333334,6,2.1783050847457623
3,Sweden,65.24875,10.75,8,6.069651162790698
3,Switzerland,104.20333333333333,4.833333333333333,6,21.559310344827587
3,Uk,44.75954545454545,7.409090909090909,22,6.0411656441717785
3,Usa,142.44975,8.052631578947368,40,17.68983823529412
3,Venezuela,58.5323076923077,6.3076923076923075,13,9.279512195121953
