shipperid,country,avg_cost,total_orders
2,Ireland,210.04555555555555,9
2,Austria,204.38866666666667,15
1,Austria,184.88083333333336,12
3,Austria,162.08461538461538,13
3,Usa,142.44975,40
3,Germany,130.24964285714287,28
2,Denmark,120.982,5
2,Sweden,116.46066666666667,15
2,Usa,113.30549019607842,51
2,Canada,106.57000000000001,10
3,Switzerland,104.20333333333333,6
3,Ireland,100.35333333333334,6
2,Belgium,91.42625,8
1,Belgium,89.66666666666667,3
1,Germany,89.56,41
3,France,86.82714285714286,21
2,Portugal,79.9425,4
2,Finland,79.916,5
2,Germany,74.79867924528301,53
1,Usa,74.02322580645162,31
2,Venezuela,72.0575,16
2,Brazil,71.81228571428571,35
1,Canada,71.025,4
1,Sweden,69.19285714285715,14
2,Spain,68.505,8
1,Uk,66.89818181818181,11
1,Denmark,66.80666666666666,6
1,Ireland,65.67750000000001,4
3,Sweden,65.24875,8
1,Switzerland,62.6325,4
2,Switzerland,61.5975,8
2,Argentina,58.72428571428572,7
3,Venezuela,58.5323076923077,13
2,Norway,55.872499999999995,4
3,Denmark,55.777142857142856,7
2,Uk,53.63826086956522,23
3,Canada,53.018125,16
2,Mexico,52.813,10
2,Poland,50.480000000000004,2
1,Brazil,49.77161290322581,31
3,Brazil,48.461176470588235,17
1,Venezuela,48.31411764705882,17
3,Uk,44.75954545454545,22
1,Mexico,44.0775,4
2,France,43.60310344827586,29
1,France,42.59185185185185,27
3,Italy,40.672000000000004,5
3,Norway,38.64,1
3,Portugal,36.57714285714286,7
3,Belgium,34.96625,8
1,Finland,34.75125,8
1,Portugal,33.86,2
1,Italy,32.33214285714286,14
3,Mexico,29.881428571428568,14
1,Argentina,26.394,5
3,Finland,25.922222222222224,9
2,Italy,23.15888888888889,9
3,Spain,21.419999999999998,6
1,Spain,20.592222222222222,9
3,Poland,16.515,4
3,Argentina,13.885000000000002,4
1,Norway,13.37,1
1,Poland,8.72,1
