shipperid,country,avg_delivery_days,std_delivery_days,total_orders
1,Argentina,11.25,7.58836829188814,5
1,Austria,5.75,2.050498830661811,12
1,Belgium,14.333333333333334,6.110100926607787,3
1,Brazil,7.32258064516129,4.430102307127105,31
1,Canada,8.25,3.5000000000000004,4
1,Denmark,7.166666666666667,2.1369760566432805,6
1,Finland,4.0,2.6186146828319083,8
1,France,9.185185185185185,7.6963379755321455,27
1,Germany,7.05,4.760682993447744,41
1,Ireland,13.0,14.306175822583292,4
1,Italy,9.714285714285714,9.71460891511472,14
1,Mexico,10.0,6.0553007081949835,4
1,Norway,2.0,,1
1,Poland,8.0,,1
1,Portugal,8.5,3.5355339059327378,2
1,Spain,9.222222222222221,8.941165720667772,9
1,Sweden,10.285714285714286,7.907431474725058,14
1,Switzerland,10.75,6.020797289396148,4
1,Uk,9.454545454545455,8.311000377374992,11
1,Usa,9.806451612903226,8.814455380561748,31
1,Venezuela,9.666666666666666,5.394000194219323,17
2,Argentina,9.714285714285714,6.676183683170242,7
2,Austria,12.214285714285714,10.511375313868827,15
2,Belgium,10.625,11.413494519333558,8
2,Brazil,8.636363636363637,7.083511584209936,35
2,Canada,5.777777777777778,1.7873008824606014,10
2,Denmark,5.5,1.2909944487358058,5
2,Finland,5.4,3.130495168499705,5
2,France,8.821428571428571,7.368871321326255,29
2,Germany,9.30188679245283,7.680106433708548,53
2,Ireland,10.444444444444445,8.91783481444783,9
2,Italy,7.0,2.9277002188455996,9
2,Mexico,6.555555555555555,3.4318767136623336,10
2,Norway,8.25,4.349329450233296,4
2,Poland,10.5,4.949747468305833,2
2,Portugal,6.25,3.5,4
2,Spain,8.75,9.647353449077553,8
2,Sweden,9.866666666666667,8.667399236438202,15
2,Switzerland,13.857142857142858,6.644009116704849,8
2,Uk,8.347826086956522,6.984454788718456,23
2,Usa,10.54,8.167156725543586,51
2,Venezuela,9.133333333333333,9.583219461021189,16
3,Argentina,5.666666666666667,3.0550504633038935,4
3,Austria,7.416666666666667,3.941811612428832,13
3,Belgium,5.75,4.166190448976482,8
3,Brazil,8.647058823529411,9.440214354495534,17
3,Canada,5.4375,2.920473705868051,16
3,Denmark,8.714285714285714,3.3523268393901033,7
3,Finland,7.111111111111111,4.166666666666667,9
3,France,6.9,2.9894551519069754,21
3,Germany,6.888888888888889,5.220767209559363,28
3,Ireland,10.5,12.144957801491119,6
3,Italy,4.2,1.9235384061671346,5
3,Mexico,8.0,4.640954808922571,14
3,Norway,7.0,,1
3,Poland,6.75,2.217355782608345,4
3,Portugal,10.142857142857142,8.571825387640049,7
3,Spain,9.833333333333334,8.183316361150085,6
3,Sweden,10.75,8.598172563316663,8
3,Switzerland,4.833333333333333,2.6394443859772205,6
3,Uk,7.409090909090909,6.485581744359604,22
3,Usa,8.052631578947368,5.62786200305785,40
3,Venezuela,6.3076923076923075,3.092588327615327,13
