orderid,shipperid,freight,orderdate,shippeddate,country,delivery_days
10382,1,94.77,2013-12-13,2013-12-16,Austria,3.0
10559,1,8.05,2014-06-05,2014-06-13,France,8.0
10290,1,79.7,2013-08-27,2013-09-03,Brazil,7.0
10794,1,21.49,2014-12-24,2015-01-02,Brazil,9.0
10408,1,11.26,2014-01-08,2014-01-14,France,6.0
11054,1,0.33,2015-04-28,,Argentina,
10961,1,104.47,2015-03-19,2015-03-30,Brazil,11.0
10698,1,272.47,2014-10-09,2014-10-17,Austria,8.0
10774,1,48.2,2014-12-11,2014-12-12,Sweden,1.0
10500,1,42.68,2014-04-09,2014-04-17,France,8.0
11004,1,44.84,2015-04-07,2015-04-20,Belgium,13.0
10643,1,29.46,2014-08-25,2014-09-02,Germany,8.0
10355,1,41.95,2013-11-15,2013-11-20,Uk,5.0
10829,1,154.72,2015-01-13,2015-01-23,Uk,10.0
10502,1,69.32,2014-04-10,2014-04-29,Mexico,19.0
11029,1,47.84,2015-04-16,2015-04-27,Switzerland,11.0
10258,1,140.51,2013-07-17,2013-07-23,Austria,6.0
10809,1,4.87,2015-01-01,2015-01-07,Brazil,6.0
10750,1,79.3,2014-11-21,2014-11-24,Finland,3.0
10405,1,34.82,2014-01-06,2014-01-22,Venezuela,16.0
10894,1,116.13,2015-02-18,2015-02-20,Usa,2.0
10790,1,28.23,2014-12-22,2014-12-26,Brazil,4.0
10858,1,52.51,2015-01-29,2015-02-03,France,5.0
10653,1,93.25,2014-09-02,2014-09-19,Germany,17.0
10803,1,55.23,2014-12-30,2015-01-06,Brazil,7.0
10695,1,16.72,2014-10-07,2014-10-14,Finland,7.0
10700,1,65.1,2014-10-10,2014-10-16,Usa,6.0
10673,1,22.76,2014-09-18,2014-09-19,Finland,1.0
10762,1,328.74,2014-12-02,2014-12-09,Sweden,7.0
10404,1,155.97,2014-01-03,2014-01-08,Italy,5.0
10251,1,41.34,2013-07-08,2013-07-15,France,7.0
10362,1,96.04,2013-11-25,2013-11-28,France,3.0
10445,1,9.3,2014-02-13,2014-02-20,Sweden,7.0
10586,1,0.48,2014-07-02,2014-07-09,Italy,7.0
10960,1,2.08,2015-03-19,2015-04-08,Venezuela,20.0
10265,1,55.28,2013-07-25,2013-08-12,France,18.0
10671,1,30.34,2014-09-17,2014-09-24,France,7.0
11049,1,8.34,2015-04-24,2015-05-04,Brazil,10.0
10796,1,26.52,2014-12-25,2015-01-14,Venezuela,20.0
10722,1,74.58,2014-10-29,2014-11-04,Usa,6.0
10921,1,176.48,2015-03-03,2015-03-09,Denmark,6.0
11013,1,32.99,2015-04-09,2015-04-10,Spain,1.0
10836,1,411.88,2015-01-16,2015-01-21,Austria,5.0
10852,1,174.05,2015-01-26,2015-01-30,Usa,4.0
11011,1,1.21,2015-04-09,2015-04-13,Germany,4.0
10828,1,90.85,2015-01-13,2015-02-04,Argentina,22.0
10371,1,0.45,2013-12-03,2013-12-24,France,21.0
10880,1,88.01,2015-02-10,2015-02-18,Sweden,8.0
10269,1,4.56,2013-07-31,2013-08-09,Usa,9.0
10537,1,78.85,2014-05-14,2014-05-19,Switzerland,5.0
10656,1,57.15,2014-09-04,2014-09-10,Usa,6.0
10704,1,4.78,2014-10-14,2014-11-07,Brazil,24.0
11009,1,59.11,2015-04-08,2015-04-10,Spain,2.0
10390,1,126.38,2013-12-23,2013-12-26,Austria,3.0
10970,1,16.16,2015-03-24,2015-04-24,Spain,31.0
10457,1,11.57,2014-02-25,2014-03-03,Germany,6.0
10845,1,212.98,2015-01-21,2015-01-30,Germany,9.0
10541,1,68.65,2014-05-19,2014-05-29,Brazil,10.0
10575,1,127.34,2014-06-20,2014-06-30,Germany,10.0
10469,1,60.18,2014-03-10,2014-03-14,Usa,4.0
10330,1,12.75,2013-10-16,2013-10-28,Venezuela,12.0
10670,1,203.48,2014-09-16,2014-09-18,Germany,2.0
10747,1,117.33,2014-11-19,2014-11-26,Austria,7.0
10420,1,44.12,2014-01-21,2014-01-27,Brazil,6.0
11002,1,141.16,2015-04-06,2015-04-16,Usa,10.0
10460,1,16.27,2014-02-28,2014-03-03,Sweden,3.0
10587,1,62.52,2014-07-02,2014-07-09,Brazil,7.0
10757,1,8.19,2014-11-27,2014-12-15,Usa,18.0
10581,1,3.01,2014-06-26,2014-07-02,Brazil,6.0
10596,1,16.34,2014-07-11,2014-08-12,Usa,32.0
10697,1,45.52,2014-10-08,2014-10-14,Venezuela,6.0
10422,1,3.02,2014-01-22,2014-01-31,Italy,9.0
10727,1,89.9,2014-11-03,2014-12-05,Italy,32.0
10867,1,1.93,2015-02-03,2015-02-11,Usa,8.0
10989,1,34.76,2015-03-31,2015-04-02,Brazil,2.0
