productname,categoryname,total_sales,total_units,gross_margin
Côte De Blaye,Bebidas,149984.2,623,44995.26
Raclette Courdavault,Ropa,76296.0,1496,22888.8
Camembert Pierrot,Ropa,50286.0,1577,15085.8
Tarte Au Sucre,Electrónicos,49827.9,1083,14948.37
Gnocchi Di Nonna Alice,Otros,45121.2,1263,13536.36
Mozzarella Di Giovanni,Ropa,25738.8,806,7721.64
Ipoh Coffee,Bebidas,25079.2,580,7523.76
Gudbrandsdalsost,Ropa,24307.2,714,7292.16
Sir Rodney'S Marmalade,Electrónicos,23635.8,313,7090.74
Wimmers Gute Semmelknödel,Otros,23009.0,740,6902.7
Gumbär Gummibärchen,Electrónicos,21534.9,753,6460.47
Flotemysost,Ropa,20876.5,1057,6262.95
Pavlova,Electrónicos,18748.05,1158,5624.415
Chang,Bebidas,18559.2,1057,5567.76
Vegie-Spread,Comida,17696.3,445,5308.89
Lakkaliköri,Bebidas,16794.0,981,5038.2
Sirop D'Érable,Comida,16438.8,603,4931.64
Gorgonzola Telino,Ropa,16172.5,1397,4851.75
Schoggi Schokolade,Electrónicos,15231.5,365,4569.45
Louisiana Fiery Hot Pepper Sauce,Comida,14607.0,745,4382.1
Steeleye Stout,Bebidas,14536.8,883,4361.04
Chai,Bebidas,14277.6,828,4283.28
Queso Cabrales,Ropa,13902.0,706,4170.6
Northwoods Cranberry Sauce,Comida,13760.0,372,4128.0
Chartreuse Verte,Bebidas,13150.8,793,3945.24
Queso Manchego La Pastora,Ropa,12866.8,344,3860.04
Outback Lager,Bebidas,11472.0,817,3441.6
Gula Malacca,Comida,10524.2,601,3157.26
Original Frankfurter Grüne Soße,Comida,9685.0,791,2905.5
Sir Rodney'S Scones,Electrónicos,9636.0,1016,2890.8
Maxilaku,Electrónicos,9500.0,520,2850.0
Chef Anton'S Cajun Seasoning,Comida,9424.8,453,2827.44
Scottish Longbreads,Electrónicos,9362.5,799,2808.75
Singaporean Hokkien Fried Mee,Otros,9332.4,697,2799.72
Mascarpone Fabioli,Ropa,9171.2,297,2751.36
Rhönbräu Klosterbier,Bebidas,8650.55,1155,2595.165
Ravioli Angelo,Otros,7807.8,434,2342.34
Grandma'S Boysenberry Spread,Comida,7345.0,301,2203.5
Gustaf'S Knackebröd,Otros,7232.4,348,2169.72
Sasquatch Ale,Bebidas,6678.0,506,2003.4
Teatime Chocolate Biscuits,Electrónicos,6159.5,723,1847.85
Chef Anton'S Gumbo Mix,Comida,5801.15,298,1740.345
Tunnbröd,Otros,4840.2,580,1452.06
Guarana Fantastica,Bebidas,4782.6,1125,1434.78
Zaanse Koeken,Electrónicos,4358.6,485,1307.58
Nunuca Nuß-Nougat-Creme,Electrónicos,4051.6,318,1215.48
Louisiana Hot Spiced Okra,Comida,3519.0,239,1055.7
Valkoinen Suklaa,Electrónicos,3510.0,235,1053.0
Filo Mix,Otros,3383.8,500,1015.14
Aniseed Syrup,Comida,3080.0,328,924.0
Laughing Lumberjack Lager,Bebidas,2562.0,184,768.6
Genen Shouyu,Comida,1813.5,122,544.05
Geitost,Ropa,1713.5,755,514.05
Chocolade,Electrónicos,1542.75,138,462.825
