productname,total_sales,total_margin,avg_margin_unit
Côte De Blaye,149984.2,44995.26,73.78
Thüringer Rostbratwurst,87736.4,26320.92,34.8129375
Raclette Courdavault,76296.0,22888.8,15.338888888888889
Camembert Pierrot,50286.0,15085.8,9.64
Tarte Au Sucre,49827.9,14948.37,13.92375
Gnocchi Di Nonna Alice,45121.2,13536.36,10.6248
Manjimup Dried Apples,44742.6,13422.78,15.166153846153847
Alice Mutton,35482.2,10644.66,10.941081081081082
Carnarvon Tigers,31987.5,9596.25,17.916666666666668
Rössle Sauerkraut,26865.6,8059.68,12.592727272727272
