customerid,companyname,total_sales,total_orders
QUICK,Quick-Stop,117483.39,28
SAVEA,Save-A-Lot Markets,115673.39,31
ERNSH,Ernst Handel,113236.68,30
HUNGO,Hungry Owl All-Night Grocers,57317.39,19
RATTC,Rattlesnake Canyon Grocery,52245.90,18
HANAR,Hanari Carnes,34101.15,14
FOLKO,Folk Och Fä Hb,32555.55,19
MEREP,Mère Paillarde,32203.90,13
KOENE,Königlich Essen,31745.75,14
QUEEN,Queen Cozinha,30226.10,13
WHITC,White Clover Markets,29073.45,14
FRANK,Frankenversand,28722.71,15
BERGS,Berglunds Snabbköp,26968.15,18
PICCO,Piccolo Und Mehr,26259.95,10
SUPRD,Suprêmes Délices,24704.40,12
BONAP,Bon App',23850.95,17
HILAA,Hilarion-Abastos,23611.58,18
BOTTM,Bottom-Dollar Markets,22607.70,14
LEHMS,Lehmanns Marktstand,21282.02,15
RICSU,Richter Supermarkt,20033.20,10
GREAL,Great Lakes Food Market,19711.13,11
BLONP,Blondesddsl Père Et Fils,19088.00,11
SIMOB,Simons Bistro,18138.45,7
LINOD,Lino-Delicateses,17889.55,12
LILAS,Lila-Supermercado,17825.06,14
SEVES,Seven Seas Imports,17172.05,9
VAFFE,Vaffeljernet,16643.80,11
WARTH,Wartian Herkku,16617.10,15
OLDWO,Old World Delicatessen,16325.15,10
EASTC,Eastern Connection,15033.66,8
AROUT,Around The Horn,13806.50,13
OTTIK,Ottilies Käseladen,13157.50,10
RICAR,Ricardo Adocicados,12924.40,11
CHOPS,Chop-Suey Chinese,12886.30,8
SPLIR,Split Rail Beer & Ale,12489.70,9
GODOS,Godos Cocina Típica,11830.10,10
FOLIG,Folies Gourmandes,11666.90,5
TORTU,Tortuga Restaurante,10812.15,10
WANDK,Die Wandernde Kuh,10653.85,10
MAISD,Maison Dewey,10430.58,7
LAMAI,La Maison D'Asie,10272.35,14
VICTE,Victuailles En Stock,9937.10,10
GOURL,Gourmet Lanchonetes,8702.23,9
MAGAA,Magazzini Alimentari Riuniti,7603.85,10
REGGC,Reggiani Caseifici,7555.60,12
ANTON,Antonio Moreno Taquería,7515.35,7
TRADH,Tradição Hipermercados,7310.62,6
FURIB,Furia Bacalhau E Frutos Do Mar,7151.55,8
QUEDE,Que Delícia,6973.63,9
WELLI,Wellington Importadora,6480.70,9
ISLAT,Island Trading,6146.30,10
BSBEV,B'S Beverages,6089.90,10
SANTG,Santé Gourmet,5735.15,6
PRINI,Princesa Isabel Vinhos,5317.10,5
BOLID,Bólido Comidas Preparadas,5297.80,3
MORGK,Morgenstern Gesundkost,5042.20,5
TOMSP,Toms Spezialitäten,4954.00,6
ALFKI,Alfreds Futterkiste,4596.20,6
FAMIA,Familia Arquibaldo,4438.90,7
LONEP,Lonesome Pine Restaurant,4258.60,8
PERIC,Pericles Comidas Clásicas,4242.20,6
COMMI,Comércio Mineiro,3810.75,5
DRACD,Drachenblut Delikatessen,3763.21,6
WOLZA,Wolski  Zajazd,3531.95,7
LETSS,Let'S Stop N Shop,3490.02,4
OCEAN,Océano Atlántico Ltda.,3460.20,5
THEBI,The Big Cheese,3361.00,4
BLAUS,Blauer See Delikatessen,3239.80,7
FRANR,France Restauration,3172.16,3
WILMK,Wilman Kala,3161.35,7
HUNGC,Hungry Coyote Import Store,3063.20,5
RANCH,Rancho Grande,2844.10,5
SPECD,Spécialités Du Monde,2423.35,4
LACOR,La Corne D'Abondance,1992.05,4
THECR,The Cracker Box,1947.24,3
CACTU,Cactus Comidas Para Llevar,1814.80,6
CONSH,Consolidated Holdings,1719.10,3
DUMON,Du Monde Entier,1615.90,4
TRAIH,Trail'S Head Gourmet Provisioners,1571.20,3
FRANS,Franchi S.P.A.,1545.70,6
GROSR,Grosella-Restaurante,1488.70,2
VINET,Vins Et Alcools Chevalier,1480.00,5
ROMEY,Romero Y Tomillo,1467.29,5
ANATR,Ana Trujillo Emparedados Y Helados,1402.95,4
GALED,Galería Del Gastrónomo,836.70,5
NORTS,North/South,649.00,3
LAUGB,Laughing Bacchus Wine Cellars,522.50,3
LAZYK,Lazy K Kountry Store,357.00,2
CENTC,Centro Comercial Moctezuma,100.80,1
