productid,productname,total_sales,total_units
38,Côte De Blaye,149984.20,623
29,Thüringer Rostbratwurst,87736.40,746
59,Raclette Courdavault,76296.00,1496
60,Camembert Pierrot,50286.00,1577
62,Tarte Au Sucre,49827.90,1083
56,Gnocchi Di Nonna Alice,45121.20,1263
51,Manjimup Dried Apples,44742.60,886
17,Alice Mutton,35482.20,978
18,Carnarvon Tigers,31987.50,539
28,Rössle Sauerkraut,26865.60,640
72,Mozzarella Di Giovanni,25738.80,806
43,Ipoh Coffee,25079.20,580
69,Gudbrandsdalsost,24307.20,714
20,Sir Rodney'S Marmalade,23635.80,313
64,Wimmers Gute Semmelknödel,23009.00,740
7,Uncle Bob'S Organic Dried Pears,22464.00,763
10,Ikura,22140.20,742
26,Gumbär Gummibärchen,21534.90,753
53,Perth Pasties,21510.20,722
71,Flotemysost,20876.50,1057
55,Pâté Chinois,19512.00,903
40,Boston Crab Meat,19048.30,1103
16,Pavlova,18748.05,1158
2,Chang,18559.20,1057
63,Vegie-Spread,17696.30,445
76,Lakkaliköri,16794.00,981
61,Sirop D'Érable,16438.80,603
31,Gorgonzola Telino,16172.50,1397
27,Schoggi Schokolade,15231.50,365
30,Nord-Ost Matjeshering,14775.54,612
65,Louisiana Fiery Hot Pepper Sauce,14607.00,745
36,Inlagd Sill,14542.60,805
35,Steeleye Stout,14536.80,883
1,Chai,14277.60,828
11,Queso Cabrales,13902.00,706
8,Northwoods Cranberry Sauce,13760.00,372
39,Chartreuse Verte,13150.80,793
12,Queso Manchego La Pastora,12866.80,344
70,Outback Lager,11472.00,817
44,Gula Malacca,10524.20,601
77,Original Frankfurter Grüne Soße,9685.00,791
21,Sir Rodney'S Scones,9636.00,1016
49,Maxilaku,9500.00,520
4,Chef Anton'S Cajun Seasoning,9424.80,453
68,Scottish Longbreads,9362.50,799
42,Singaporean Hokkien Fried Mee,9332.40,697
32,Mascarpone Fabioli,9171.20,297
41,Jack'S New England Clam Chowder,9098.10,981
9,Mishi Kobe Niku,8827.00,95
75,Rhönbräu Klosterbier,8650.55,1155
14,Tofu,8630.40,404
57,Ravioli Angelo,7807.80,434
6,Grandma'S Boysenberry Spread,7345.00,301
22,Gustaf'S Knackebröd,7232.40,348
34,Sasquatch Ale,6678.00,506
58,Escargots De Bourgogne,6664.75,534
19,Teatime Chocolate Biscuits,6159.50,723
46,Spegesild,6144.00,548
5,Chef Anton'S Gumbo Mix,5801.15,298
13,Konbu,5234.40,891
54,Tourtière,5121.00,755
23,Tunnbröd,4840.20,580
24,Guarana Fantastica,4782.60,1125
45,Rogede Sild,4740.50,508
47,Zaanse Koeken,4358.60,485
73,Röd Kaviar,4200.00,293
25,Nunuca Nuß-Nougat-Creme,4051.60,318
66,Louisiana Hot Spiced Okra,3519.00,239
50,Valkoinen Suklaa,3510.00,235
52,Filo Mix,3383.80,500
3,Aniseed Syrup,3080.00,328
37,Gravad Lax,3047.20,125
74,Longlife Tofu,2566.00,297
67,Laughing Lumberjack Lager,2562.00,184
15,Genen Shouyu,1813.50,122
33,Geitost,1713.50,755
48,Chocolade,1542.75,138
